http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=778;Articles en Papier;Nouveau;;;NPF;NPF-1;Bloc notes Hunterman;IRL;Bloc-notes élégant avec couverture rigide, finition métallique et sangle élastique. Ce bloc-notes personnalisable avec marquage inclus, contient 80 feuilles avec lignes de chaque côté en couleur écru et un ruban noir marque pages. ;50;14 x 9 x 1.4cm;Noir;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Gravure Laser;40 x 40mm;121,5;122,5; € 2,67 ; € 5,34 ; € 2,42 ; € 4,84 ; € 2,30 ; € 4,60 ; € 2,13 ; € 4,26 ; € 2,06 ; € 4,12 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=737;Respectueux de l'environnement;Nouveau;;;NAM;NAM-1;Bloc-Notes en Bambou avec Marque-pages;IRL;Couverture en bambou! Chaque bloc-notes comporte: bloc de 50 post-its en taille grande et moyenne, plus 5 ensembles de 50 marque pages fluos. Personnalisable avec marquage inclus.;50;8 x 10.5 x 1.1cm (Fermé);Bambou;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Gravure Laser (Les logos trop précis ne sont pas tous possibles sur ce produit);89 x 28.5mm;64,0;65,0; € 1,94 ; € 3,88 ; € 1,70 ; € 3,40 ; € 1,66 ; € 3,32 ; € 1,65 ; € 3,30 ; € 1,59 ; € 3,18 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=785;Articles en Papier;Nouveau;;;NTJ;NTJ-1;BLOC-NOTES SOUPLE AVEC STYLO;IRL;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;7.9 x 7.1cm;Bleu;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Empreinte thermique;50 x 50mm;68,0;69,0; € 2,48 ; € 4,96 ; € 2,24 ; € 4,48 ; € 2,13 ; € 4,26 ; € 1,98 ; € 3,96 ; € 1,91 ; € 3,82 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=785;Articles en Papier;Nouveau;;;NTJ;NTJ-2;BLOC-NOTES SOUPLE AVEC STYLO;IRL;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;7.9 x 7.1cm;Marron;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Empreinte thermique;50 x 50mm;68,0;69,0; € 2,48 ; € 4,96 ; € 2,24 ; € 4,48 ; € 2,13 ; € 4,26 ; € 1,98 ; € 3,96 ; € 1,91 ; € 3,82 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=785;Articles en Papier;Nouveau;;;NTJ;NTJ-3;BLOC-NOTES SOUPLE AVEC STYLO;IRL;Etui en vinyle personnalisable avec marquage inclus, avec une bande en couleur, cousu sur papier carton et composé de 50 feuilles détachables. avec stylo integré rétractable à encre bleue, maintenu en place par une sangle élastique noire cousue sur l’étui en vinyle.;50;7.9 x 7.1cm;Rouge;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Empreinte thermique;50 x 50mm;68,0;69,0; € 2,48 ; € 4,96 ; € 2,24 ; € 4,48 ; € 2,13 ; € 4,26 ; € 1,98 ; € 3,96 ; € 1,91 ; € 3,82 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=721;Coffret Cadeau ;;;;11999A;11999A-1;Boîte cadeau - satin;IRL;Coffret cadeau élégant personnalisable marquage inclus, avec doublure en satin et ruban à l'intérieur. 2 elastiques en-dessous du ruban pour maintenir vos objets en place.;50;5.6 x 17.6cm;Noir;Vendu sans Stylo;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Pas de Personnalisation Possible;n/a;45,1;46,1; € 1,32 ; € 2,64 ; € 1,14 ; € 2,28 ; € 1,10 ; € 2,20 ; € 1,01 ; € 2,02 ; € 0,98 ; € 1,96 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=767;Outils;Nouveau;;;DXA;DXA-1;Couteau 5 Fonctions;IRL;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;50;9.4 x 2.5 x 1.4 cm;Noir;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Gravure Laser;50.8 x 6mm;60,0;61,0; € 2,31 ; € 4,62 ; € 2,09 ; € 4,18 ; € 1,98 ; € 3,96 ; € 1,84 ; € 3,68 ; € 1,77 ; € 3,54 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=767;Outils;Nouveau;;;DXA;DXA-2;Couteau 5 Fonctions;IRL;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;50;9.4 x 2.5 x 1.4 cm;Bleu;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Gravure Laser;50.8 x 6mm;60,0;61,0; € 2,31 ; € 4,62 ; € 2,09 ; € 4,18 ; € 1,98 ; € 3,96 ; € 1,84 ; € 3,68 ; € 1,77 ; € 3,54 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=767;Outils;Nouveau;;;DXA;DXA-3;Couteau 5 Fonctions;IRL;Ce couteau personnalisable avec marquage inclus contient 5 outils en acier inoxydable: lame principale, ouvreboîte, tournevis plats / décapsuleur, tire-bouchon, tournevis cruciforme! ;50;9.4 x 2.5 x 1.4 cm;Rouge;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Gravure Laser;50.8 x 6mm;60,0;61,0; € 2,31 ; € 4,62 ; € 2,09 ; € 4,18 ; € 1,98 ; € 3,96 ; € 1,84 ; € 3,68 ; € 1,77 ; € 3,54 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=696;Instrument d'Ecriture - Multi couleurs;;;Oui;MEC ;MEC -1;Crayon à mine;IRL;Vos clients adoreront le crayon à mine, personnalisable marquage inclus. Aucun autre crayon de ce style ne peut battre son prix. Rechargeable ;100;12,5;Attache argentée;Porte-Mines 0.7mm - Rechargeable - Clip;Frais de port inclus, frais techniques inclus et frais de marquage inclus;En couleur;111.7 x 25mm;5,9;6,9;; € -   ; € 0,57 ; € 1,14 ; € 0,53 ; € 1,06 ; € 0,52 ; € 1,04 ; € 0,51 ; € 1,02 
